,date,id,text,like,n_rt,author,location,retweeted,user_mentions,hastags
130,2022-12-11 21:38:11+00:00,1602055169487024128,"This tells you all you need to know about @ElonMusk &amp; his #acolytes: ""I affirm your pronouns Elon,"" @RepMTG, the #Congresswoman from #QAnon &amp; #Georgia, tweeted in response to #Musk's tweet about #prosecuting Dr. Anthony #Fauci.

https://t.co/fwf4ZV0vpo",0,0,newstruthliz,,False,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [42, 51]}, {'screen_name': 'RepMTG', 'name': 'Rep. Marjorie Taylor Greene🇺🇸', 'id': 1344356576786866176, 'id_str': '1344356576786866176', 'indices': [104, 111]}]","[{'text': 'acolytes', 'indices': [62, 71]}]"
131,2022-12-11 21:30:03+00:00,1602053119600467969,"RT @ThinkingAtheist: #QAnon. It's insane. And millions are infected with it.

https://t.co/lg4Li1GmJ8",0,11,NightlyDrugs,Midwest United States,False,"[{'screen_name': 'ThinkingAtheist', 'name': 'The Thinking Atheist', 'id': 124439683, 'id_str': '124439683', 'indices': [3, 19]}]","[{'text': 'QAnon', 'indices': [21, 27]}]"
132,2022-12-11 21:28:46+00:00,1602052800372166656,@MiaHatem4 @ericareport Really Mia??? Get your head out of your #QAnon ass!,0,0,UnderReview123,"Ask me, USA",False,"[{'screen_name': 'MiaHatem4', 'name': 'Mia', 'id': 959183250500476928, 'id_str': '959183250500476928', 'indices': [0, 10]}, {'screen_name': 'ericareport', 'name': 'Erica Marsh', 'id': 1575205434843049984, 'id_str': '1575205434843049984', 'indices': [11, 23]}]","[{'text': 'QAnon', 'indices': [64, 70]}]"
133,2022-12-11 21:24:49+00:00,1602051805327810561,"@elonmusk How long before you claim to be #Q and start pushing #QAnon #ConspiracyTheories ?

#QAnonElon",0,0,BallofKitten,"Arlen, TX",False,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [0, 9]}]","[{'text': 'Q', 'indices': [42, 44]}, {'text': 'QAnon', 'indices': [63, 69]}, {'text': 'ConspiracyTheories', 'indices': [70, 89]}, {'text': 'QAnonElon', 'indices': [93, 103]}]"
134,2022-12-11 21:12:03+00:00,1602048591832530948,RT @nancylevine: @elonmusk @Gfilche Spoken like a true #QAnon cult leader. @Tesla investors should call their lawyers. $TSLA #CorpGov,0,14,ColleenPaige1,,False,"[{'screen_name': 'nancylevine', 'name': 'Nancy Levine', 'id': 27282113, 'id_str': '27282113', 'indices': [3, 15]}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [17, 26]}, {'screen_name': 'Gfilche', 'name': 'Gali', 'id': 348844712, 'id_str': '348844712', 'indices': [27, 35]}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': 13298072, 'id_str': '13298072', 'indices': [75, 81]}]","[{'text': 'QAnon', 'indices': [55, 61]}, {'text': 'CorpGov', 'indices': [125, 133]}]"
135,2022-12-11 21:00:31+00:00,1602045687755145216,"RT @ThinkingAtheist: #QAnon. It's insane. And millions are infected with it.

https://t.co/lg4Li1GmJ8",0,11,slickstweets,,False,"[{'screen_name': 'ThinkingAtheist', 'name': 'The Thinking Atheist', 'id': 124439683, 'id_str': '124439683', 'indices': [3, 19]}]","[{'text': 'QAnon', 'indices': [21, 27]}]"
136,2022-12-11 20:55:07+00:00,1602044330809921536,"RT @DianePostLester: Well well #Qanon really is a groomer. So ask why Republicans love Parler and Rumble? The Q head is a #Groomers
@Donald…",0,16,camoxendale,,False,"[{'screen_name': 'DianePostLester', 'name': 'Diane Post-Lester🌊🌊', 'id': 117211793, 'id_str': '117211793', 'indices': [3, 19]}]","[{'text': 'Qanon', 'indices': [31, 37]}, {'text': 'Groomers', 'indices': [122, 131]}]"
137,2022-12-11 20:46:58+00:00,1602042277358190594,RT @nancylevine: Spoken like a true #QAnon cult leader. @Tesla investors should call their lawyers. $TSLA #CorpGov,0,3,bbbycrr,Northwest Mississippi,False,"[{'screen_name': 'nancylevine', 'name': 'Nancy Levine', 'id': 27282113, 'id_str': '27282113', 'indices': [3, 15]}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': 13298072, 'id_str': '13298072', 'indices': [56, 62]}]","[{'text': 'QAnon', 'indices': [36, 42]}, {'text': 'CorpGov', 'indices': [106, 114]}]"
138,2022-12-11 20:40:35+00:00,1602040674274230272,RT @nancylevine: @elonmusk @Gfilche Spoken like a true #QAnon cult leader. @Tesla investors should call their lawyers. $TSLA #CorpGov,0,14,hanoiXan,Puny Monkey Planet,False,"[{'screen_name': 'nancylevine', 'name': 'Nancy Levine', 'id': 27282113, 'id_str': '27282113', 'indices': [3, 15]}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': 44196397, 'id_str': '44196397', 'indices': [17, 26]}, {'screen_name': 'Gfilche', 'name': 'Gali', 'id': 348844712, 'id_str': '348844712', 'indices': [27, 35]}, {'screen_name': 'Tesla', 'name': 'Tesla', 'id': 13298072, 'id_str': '13298072', 'indices': [75, 81]}]","[{'text': 'QAnon', 'indices': [55, 61]}, {'text': 'CorpGov', 'indices': [125, 133]}]"
139,2022-12-11 20:40:19+00:00,1602040606112419840,"RT @ThinkingAtheist: #QAnon. It's insane. And millions are infected with it.

https://t.co/lg4Li1GmJ8",0,11,Wookman21,somewhere in time and space,False,"[{'screen_name': 'ThinkingAtheist', 'name': 'The Thinking Atheist', 'id': 124439683, 'id_str': '124439683', 'indices': [3, 19]}]","[{'text': 'QAnon', 'indices': [21, 27]}]"
